Order_ID,Date,Region,Sales_Channel,Product_Line,Customer_Type,Quantity_Sold,Unit_Price_USD,Gross_Revenue_USD,Discount_Rate,Discount_Amount_USD,Net_Revenue_USD,COGS_USD,Gross_Profit_USD
ORD-2026-1001,2025-01-01,Europe,Direct Sales,Cloud Analytics Suite,Enterprise,9,8500,76500,0.07,5355.0,71145.0,25452.3,45692.7
ORD-2026-1002,2025-01-03,Middle East & Africa,Direct Sales,Cloud Analytics Suite,Mid-Market,5,12000,60000,0.1,6000.0,54000.0,16462.63,37537.369999999995
ORD-2026-1003,2025-01-05,Asia-Pacific,Online Portal,Cloud Analytics Suite,Enterprise,7,12000,84000,0.02,1680.0,82320.0,24043.31,58276.69
ORD-2026-1004,2025-01-08,Europe,Direct Sales,Data Storage Pro,Enterprise,10,5000,50000,0.07,3500.0,46500.0,19311.18,27188.82
ORD-2026-1005,2025-01-10,North America,Direct Sales,API Integration Hub,Government,13,12000,156000,0.01,1560.0,154440.0,44660.88,109779.12
ORD-2026-1006,2025-01-13,North America,Partner / Reseller,Data Storage Pro,Mid-Market,1,2500,2500,0.02,50.0,2450.0,887.58,1562.42
ORD-2026-1007,2025-01-15,North America,Enterprise Sales,API Integration Hub,SMB,10,5000,50000,0.08,4000.0,46000.0,19590.46,26409.54
ORD-2026-1008,2025-01-18,Latin America,Partner / Reseller,Data Storage Pro,Enterprise,5,2500,12500,0.03,375.0,12125.0,3392.19,8732.81
ORD-2026-1009,2025-01-20,Asia-Pacific,Partner / Reseller,Data Storage Pro,SMB,12,1200,14400,0.11,1584.0,12816.0,5233.86,7582.14
ORD-2026-1010,2025-01-22,Asia-Pacific,Direct Sales,Network Infrastructure Soft,SMB,14,2500,35000,0.14,4900.0,30100.0,10545.94,19554.059999999998
ORD-2026-1011,2025-01-25,North America,Partner / Reseller,Data Storage Pro,Mid-Market,10,1200,12000,0.16,1920.0,10080.0,5311.02,4768.98
ORD-2026-1012,2025-01-27,Middle East & Africa,Enterprise Sales,Enterprise Cybersecurity,Mid-Market,14,1200,16800,0.04,672.0,16128.0,5824.71,10303.29
